,date_time,site_name,posa_continent,user_location_country,user_location_region,user_location_city,orig_destination_distance,user_id,is_mobile,is_package,channel,srch_ci,srch_co,srch_adults_cnt,srch_children_cnt,srch_rm_cnt,srch_destination_id,srch_destination_type_id,is_booking,cnt,hotel_continent,hotel_country,hotel_market,hotel_cluster
279311,2013-08-14 05:05:59,2,3,66,351,13431,,1004051,0,0,2,2014-04-27,2014-04-28,2,0,1,669,3,0,3,2,50,212,33
462337,2013-08-06 18:25:28,2,3,66,363,24151,,408068,0,0,9,2013-08-26,2013-08-29,1,0,1,14985,1,0,1,2,50,1241,83
97227,2014-08-13 08:30:29,37,1,69,747,20836,,380954,1,0,1,2015-01-01,2015-01-05,2,0,1,8240,1,0,1,6,79,16,25
463486,2013-08-10 08:11:38,2,3,198,208,54488,,411698,1,0,0,2013-09-08,2013-09-09,2,0,1,17245,5,0,1,2,50,365,10
40586,2014-08-28 10:14:49,2,3,66,348,25443,9.3326,152970,0,0,9,2014-08-29,2014-08-30,2,0,1,12126,1,0,1,2,50,609,18
116747,2014-08-23 23:43:03,2,3,66,356,22202,536.0621,437458,1,0,9,2014-08-28,2014-08-29,2,0,1,8279,1,0,2,2,50,1230,19
432062,2014-08-12 14:16:57,2,3,66,220,19416,4870.7227,321691,0,1,9,2014-10-26,2014-10-30,1,0,1,53606,6,0,1,6,204,1449,30
149561,2014-08-22 08:13:06,2,3,66,363,12346,84.2274,573429,0,0,9,2014-11-21,2014-11-22,2,0,1,8267,1,0,1,2,50,675,70
262322,2014-08-27 18:19:47,2,3,66,348,53377,1561.3494,942802,0,1,8,2015-04-10,2015-04-17,2,0,1,8864,1,0,4,4,47,1508,52
513314,2014-08-18 10:28:57,2,3,66,459,39300,180.5792,574017,0,0,0,2014-08-19,2014-08-20,2,0,1,8223,1,0,1,2,50,690,56
523676,2014-08-03 05:16:26,2,3,231,88,2972,,604242,0,0,9,2014-08-13,2014-08-14,1,0,1,12603,5,0,1,2,50,365,23
553125,2014-08-24 14:30:53,2,3,66,226,42300,5162.576,677608,0,0,9,2015-03-03,2015-03-06,2,0,1,20254,6,1,1,6,105,1854,64
351852,2014-08-20 00:45:53,13,1,46,244,33092,,34547,0,0,3,2014-08-21,2014-08-25,2,0,1,8742,1,1,1,6,204,1479,64
80108,2013-08-01 05:11:58,2,3,66,331,54953,316.7613,325679,0,0,9,2013-08-05,2013-08-07,1,0,1,5175,3,0,3,2,50,647,18
320167,2014-08-14 18:16:01,2,3,66,337,25205,,1113858,0,0,9,2014-08-15,2014-08-16,1,0,1,7635,3,0,1,2,50,675,23
72777,2013-08-16 12:12:30,2,3,66,363,32842,2506.2506,288887,0,0,9,2013-09-01,2013-09-03,2,1,1,8834,1,1,1,2,50,355,47
339158,2014-08-04 17:24:41,2,3,66,220,35388,164.8122,1168135,0,0,0,2014-08-06,2014-08-08,2,3,1,14984,1,0,1,2,50,1457,80
245916,2014-08-22 09:51:28,2,3,66,174,5938,82.0193,887324,0,0,0,2014-08-23,2014-08-24,1,1,1,9147,1,0,1,2,50,367,18
224723,2014-08-27 09:01:38,2,3,66,196,2428,925.6065,827460,0,0,3,2014-08-30,2014-08-31,4,0,1,12227,6,1,1,2,50,701,4
368198,2014-08-14 12:30:17,2,3,66,448,32351,2253.104,97868,0,0,9,2014-09-04,2014-09-07,2,0,1,8278,1,0,1,2,50,368,70
181610,2013-08-22 22:13:19,2,3,66,462,41898,2704.0933,667746,0,0,0,2014-01-05,2014-01-18,2,3,1,12188,6,0,1,4,8,110,84
301532,2013-08-25 20:46:31,34,3,205,155,13951,6687.3997,1064504,1,0,9,2014-01-06,2014-01-11,2,0,1,11271,3,0,1,3,82,231,58
